id evid eventtype origintime
1705681 38831223 quake 2019-09-12T23:25:59.290000Z
1523599 38518287 quake 2019-07-10T13:38:57.360000Z
1635681 38630191 quake 2019-07-23T13:20:03.530000Z
1674408 38682986 quake 2020-09-10T15:42:16.030000Z
2009323 39585568 quake 2020-08-20T10:45:54.290000Z
1836917 39126159 quake 2020-04-04T01:58:56.790000Z
1726261 38926999 quake 2019-11-01T20:06:34.860000Z
1997070 39490584 quake 2020-06-22T20:01:51.980000Z
1916685 39290784 quake 2020-02-03T10:00:23.640000Z
1895571 39268087 quake 2020-06-26T17:14:13.810000Z
1559533 38559471 quake 2019-07-13T15:10:24.940000Z
1628741 38624279 quake 2019-07-22T15:26:51.880000Z
2012256 39643280 quake 2020-10-01T03:32:12.680000Z
1930539 39338999 quake 2020-08-10T18:19:05.560000Z
1751041 38984576 quake 2019-08-19T11:45:20.680000Z
2012379 39643504 quake 2020-10-01T03:53:40.410000Z
1559461 38559335 quake 2019-07-13T14:46:59.090000Z
2013564 39644976 quake 2020-10-01T08:22:10.090000Z
1997221 39491112 quake 2020-06-23T01:46:08.430000Z
1903275 39277864 quake 2020-01-22T10:26:38.450000Z
1670986 38678626 quake 2020-09-06T12:59:16.610000Z
2004504 39503503 quake 2020-12-25T10:24:28.860000Z
1550422 38550687 quake 2019-07-12T17:15:49.250000Z
1512160 38501247 quake 2019-07-09T12:02:07.610000Z
1684121 38693639 quake 2019-08-05T01:27:16.470000Z
1497478 38485519 quake 2019-07-08T10:13:53.110000Z
1577646 38586343 quake 2019-07-17T06:44:26.630000Z
1517373 38508975 quake 2019-07-09T23:44:07.220000Z
1768731 39011159 quake 2019-12-23T16:53:16.410000Z
